id,Marca,Modelo,Combustible,Año,Precio,Imagen1,Imagen2
1,Toyota,Corolla,Gasolina,2020,20.000.000,toyota_corolla_01.jpg,toyota_corolla_02.jpg
2,Honda,Civic,Gasolina,2021,22.000.000,honda_civic_01.jpg,honda_civic_02.jpg
3,Tesla,Model S,Eléctrico,2022,80.000.000,tesla_model_s_01.jpg,tesla_model_s_02.jpg
4,Ford,F-150,Diésel,2019,35.000.000,ford_f150_01.jpg,ford_f150_02.jpg
5,Chevrolet,Malibu,Gasolina,2018,25.000.000,chevrolet_malibu_01.jpg,chevrolet_malibu_02.jpg
6,Nissan,Leaf,Eléctrico,2020,30.000.000,nissan_leaf_01.jpg,nissan_leaf_02.jpg
7,BMW,3 Series,Gasolina,2021,45.000.000,bmw_3_series_01.jpg,bmw_3_series_02.jpg
8,Mercedes-Benz,C-Class,Diésel,2022,50.000.000,mercedes_c_class_01.jpg,mercedes_c_class_02.jpg
9,Audi,A4,Gasolina,2020,40.000.000,audi_a4_01.jpg,audi_a4_02.jpg
10,Hyundai,Elantra,Gasolina,2019,20.000.000,hyundai_elantra_01.jpg,hyundai_elantra_02.jpg
11,Kia,Soul,Eléctrico,2021,25.000.000,kia_soul_01.jpg,kia_soul_02.jpg
12,Volkswagen,Golf,Gasolina,2018,23.000.000,volkswagen_golf_01.jpg,volkswagen_golf_02.jpg
13,Subaru,Impreza,Gasolina,2019,27.000.000,subaru_impreza_01.jpg,subaru_impreza_02.jpg
14,Mazda,CX-5,Diésel,2020,35.000.000,mazda_cx5_01.jpg,mazda_cx5_02.jpg
15,Volvo,S60,Gasolina,2021,38.000.000,volvo_s60_01.jpg,volvo_s60_02.jpg
16,Lexus,ES,Gasolina,2022,45.000.000,lexus_es_01.jpg,lexus_es_02.jpg
17,Jaguar,I-Pace,Eléctrico,2020,70.000.000,jaguar_ipace_01.jpg,jaguar_ipace_02.jpg
18,Land Rover,Range Rover,Diésel,2021,90.000.000,land_rover_range_rover_01.jpg,land_rover_range_rover_02.jpg
19,Porsche,Macan,Gasolina,2022,80.000.000,porsche_macan_01.jpg,porsche_macan_02.jpg
20,Jeep,Wrangler,Gasolina,2019,40.000.000,jeep_wrangler_01.jpg,jeep_wrangler_02.jpg
21,Chrysler,Pacifica,Eléctrico,2021,45.000.000,chrysler_pacifica_01.jpg,chrysler_pacifica_02.jpg
22,Dodge,Charger,Gasolina,2020,35.000.000,dodge_charger_01.jpg,dodge_charger_02.jpg
23,Ferrari,Portofino,Gasolina,2022,200.000.000,ferrari_portofino_01.jpg,ferrari_portofino_02.jpg
24,Lamborghini,Huracan,Gasolina,2021,250.000.000,lamborghini_huracan_01.jpg,lamborghini_huracan_02.jpg
25,Maserati,Ghibli,Gasolina,2020,100.000.000,maserati_ghibli_01.jpg,maserati_ghibli_02.jpg
26,Bentley,Continental,Gasolina,2022,300.000.000,bentley_continental_01.jpg,bentley_continental_02.jpg
27,Rolls-Royce,Ghost,Gasolina,2021,350.000.000,rolls_royce_ghost_01.jpg,rolls_royce_ghost_02.jpg
28,Aston Martin,DB11,Gasolina,2022,400.000.000,aston_martin_db11_01.jpg,aston_martin_db11_02.jpg
29,Alfa Romeo,Giulia,Gasolina,2020,50.000.000,alfa_romeo_giulia_01.jpg,alfa_romeo_giulia_02.jpg
30,Infiniti,Q50,Gasolina,2021,40.000.000,infiniti_q50_01.jpg,infiniti_q50_02.jpg
31,Acura,TLX,Gasolina,2022,35.000.000,acura_tlx_01.jpg,acura_tlx_02.jpg
32,Buick,Enclave,Gasolina,2020,30.000.000,buick_enclave_01.jpg,buick_enclave_02.jpg
33,Cadillac,CT5,Gasolina,2021,50.000.000,cadillac_ct5_01.jpg,cadillac_ct5_02.jpg
34,GMC,Yukon,Diésel,2022,70.000.000,gmc_yukon_01.jpg,gmc_yukon_02.jpg
35,Lincoln,Navigator,Gasolina,2020,80.000.000,lincoln_navigator_01.jpg,lincoln_navigator_02.jpg
36,Mitsubishi,Outlander,Gasolina,2021,25.000.000,mitsubishi_outlander_01.jpg,mitsubishi_outlander_02.jpg
37,Mini,Cooper,Gasolina,2019,30.000.000,mini_cooper_01.jpg,mini_cooper_02.jpg
38,Genesis,G70,Gasolina,2022,40.000.000,genesis_g70_01.jpg,genesis_g70_02.jpg
39,Peugeot,3008,Gasolina,2020,35.000.000,peugeot_3008_01.jpg,peugeot_3008_02.jpg
40,Renault,Megane,Gasolina,2021,25.000.000,renault_megane_01.jpg,renault_megane_02.jpg
